Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM
Mahindra,XUV500 W6 2013,13.670485941982712,0.8529411764705882,11.440365524765756,Diesel,Manual,Ahmedabad,White,First,Individual,0.7173496866032129,FWD,4585.0,1890.0,1785.0,0.8333333333333334,70.0,140.0,3750.0,330.0,2800.0
Land Rover,Evoque HSE Dynamic,14.731401609977073,0.7941176470588235,10.832181051127325,Diesel,Automatic,Kolkata,Gold,Second,Individual,0.7173496866032129,AWD,4465.0,1900.0,1635.0,0.5,57.0,188.0,3500.0,420.0,1750.0
Hyundai,Verna Fluidic 1.6 CRDi SX Opt,13.171155446333852,0.7647058823529411,11.06665398721974,Diesel,Manual,Ahmedabad,White,Second,Individual,-0.1889913825322088,FWD,4370.0,1700.0,1475.0,0.5,43.0,126.0,4000.0,260.0,1900.0
MG,Hector Plus Sharp 1.5 DCT Petrol,14.48334044336031,0.9411764705882353,10.260637383698072,Petrol,Automatic,Hyderabad,Black,First,Individual,-0.38787024359877537,FWD,4720.0,1835.0,1760.0,0.6666666666666666,60.0,141.0,5000.0,250.0,1600.0
Mercedes-Benz,S-Class S 450,16.811242881518265,0.9705882352941176,8.79497643168877,Petrol,Automatic,Delhi,White,First,Individual,1.9576857895908837,RWD,5246.0,1899.0,1494.0,0.5,80.0,362.0,5250.0,500.0,1800.0
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],13.217675375388819,0.8529411764705882,11.02518140064756,Petrol,Manual,Aurangabad,Grey,First,Individual,-0.7734826917736448,FWD,3765.0,1660.0,1520.0,0.5,43.0,81.0,6000.0,114.0,4000.0
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],13.887832149776026,0.9117647058823529,10.33113806777952,Petrol,Automatic,Bangalore,Blue,First,Individual,-0.3711704919061629,FWD,4490.0,1730.0,1485.0,0.5,43.0,103.0,6000.0,138.0,4400.0
Hyundai,Xcent SX 1.1 CRDi,13.219491903015438,0.9117647058823529,10.571342565808699,Diesel,Manual,Jaipur,White,First,Individual,-0.890380953621932,FWD,3995.0,1660.0,1520.0,0.5,43.0,71.0,4000.0,160.0,1500.0
Skoda,Fabia Elegance 1.6 MPI,12.323860125621126,0.7058823529411765,11.141876276228,Petrol,Manual,Mumbai,Silver,First,Individual,-0.16470083461568158,FWD,4000.0,1642.0,1522.0,0.5,45.0,105.0,5250.0,153.0,3800.0
Maruti Suzuki,Wagon R VXI,12.75130259456002,0.8235294117647058,11.20082774157066,Petrol,Manual,Nagpur,Grey,Second,Individual,-1.0755963814854521,FWD,3599.0,1495.0,1700.0,0.5,35.0,67.0,6200.0,90.0,3500.0
Maruti Suzuki,Ciaz VDi SHVS,13.493928313146206,0.8235294117647058,10.950824090522445,Diesel,Manual,Lucknow,White,First,Individual,-0.6960565702897143,FWD,4490.0,1730.0,1485.0,0.5,43.0,89.0,4000.0,200.0,1750.0
Toyota,Fortuner 3.0 4x4 AT,14.375126917328105,0.7941176470588235,11.184435286790631,Diesel,Automatic,Jaipur,Black,Second,Individual,1.9364315601639224,AWD,4705.0,1840.0,1850.0,0.8333333333333334,80.0,169.0,3600.0,343.0,1400.0
Mercedes-Benz,GLE 350 d,15.59046307836746,0.8823529411764706,10.239995502805316,Diesel,Automatic,Delhi,White,First,Individual,1.9440223563878372,AWD,4819.0,2141.0,1796.0,0.5,93.0,255.0,3400.0,620.0,1600.0
Mercedes-Benz,C-Class 220 BlueEfficiency,14.038654909278163,0.7058823529411765,11.264476926102367,Diesel,Automatic,Mohali,White,First,Individual,0.6626959537910266,RWD,4596.0,1770.0,1447.0,0.5,66.0,170.0,4200.0,400.0,2800.0
Mercedes-Benz,GLA 200 Sport,14.340831219246597,0.7941176470588235,10.714439990727769,Petrol,Automatic,Mumbai,White,Second,Individual,0.4319357485840181,FWD,4417.0,1804.0,1494.0,0.5,50.0,181.0,5500.0,300.0,1200.0
Audi,A6 Technology 45 TFSI,15.483217567201578,0.9411764705882353,10.491301994830229,Petrol,Automatic,Chennai,Grey,First,Individual,0.42130863387053746,FWD,4939.0,1886.0,1457.0,0.5,73.0,241.0,5000.0,370.0,1600.0
BMW,X5 xDrive30d Pure Experience (5 Seater),14.897316067298997,0.7941176470588235,11.346882686945893,Diesel,Automatic,Pune,Black,Second,Individual,1.9531313118565348,AWD,4886.0,1938.0,1762.0,0.5,52.154656390494544,258.0,4000.0,560.0,1500.0
Hyundai,Elite i20 Magna 1.4 CRDI [2016-2017],13.384729180332174,0.8235294117647058,11.021608307592281,Diesel,Manual,Jaipur,White,First,Individual,-0.4713690020618376,FWD,3985.0,1734.0,1505.0,0.5,45.0,89.0,4000.0,220.0,1500.0
Honda,City VX,14.042646927360453,0.9705882352941176,9.210440366976517,Petrol,Manual,Mumbai,White,First,Corporate,-0.31803491833875963,FWD,4440.0,1695.0,1495.0,0.5,40.0,117.0,6600.0,145.0,4600.0
